date,time,meter_ID,meter_value
2024-07-02,01:30,111-111-111,1388.404
2024-07-02,02:00,111-111-111,1389.14
2024-07-02,02:30,111-111-111,1389.288
2024-07-02,03:00,111-111-111,1389.515
2024-07-02,03:30,111-111-111,1389.87
2024-07-02,04:00,111-111-111,1390.38
2024-07-02,04:30,111-111-111,1390.826
2024-07-02,05:00,111-111-111,1391.184
2024-07-02,05:30,111-111-111,1391.708
2024-07-02,06:00,111-111-111,1392.175
2024-07-02,06:30,111-111-111,1392.884
2024-07-02,07:00,111-111-111,1393.485
2024-07-02,07:30,111-111-111,1394.217
2024-07-02,08:00,111-111-111,1394.832
2024-07-02,08:30,111-111-111,1395.739
2024-07-02,09:00,111-111-111,1396.544
2024-07-02,09:30,111-111-111,1397.391
2024-07-02,10:00,111-111-111,1398.22
2024-07-02,10:30,111-111-111,1398.642
2024-07-02,11:00,111-111-111,1399.058
2024-07-02,11:30,111-111-111,1399.527
2024-07-02,12:00,111-111-111,1400.319
2024-07-02,12:30,111-111-111,1400.806
2024-07-02,13:00,111-111-111,1400.854
2024-07-02,13:30,111-111-111,1400.903
2024-07-02,14:00,111-111-111,1401.745
2024-07-02,14:30,111-111-111,1402.152
2024-07-02,15:00,111-111-111,1403.048
2024-07-02,15:30,111-111-111,1403.772
2024-07-02,16:00,111-111-111,1403.96
2024-07-02,16:30,111-111-111,1404.519
2024-07-02,17:00,111-111-111,1405.357
2024-07-02,17:30,111-111-111,1405.498
2024-07-02,18:00,111-111-111,1406.372
2024-07-02,18:30,111-111-111,1406.621
2024-07-02,19:00,111-111-111,1407.532
2024-07-02,19:30,111-111-111,1408.135
2024-07-02,20:00,111-111-111,1408.489
2024-07-02,20:30,111-111-111,1408.995
2024-07-02,21:00,111-111-111,1409.204
2024-07-02,21:30,111-111-111,1410.123
2024-07-02,22:00,111-111-111,1410.634
2024-07-02,22:30,111-111-111,1410.766
2024-07-02,23:00,111-111-111,1411.334
2024-07-02,23:30,111-111-111,1412.28
