date,time,meter_ID,meter_value
2024-07-05,01:30,111-111-111,1455.795
2024-07-05,02:00,111-111-111,1456.673
2024-07-05,02:30,111-111-111,1457.441
2024-07-05,03:00,111-111-111,1457.796
2024-07-05,03:30,111-111-111,1458.611
2024-07-05,04:00,111-111-111,1459.195
2024-07-05,04:30,111-111-111,1459.275
2024-07-05,05:00,111-111-111,1460.082
2024-07-05,05:30,111-111-111,1460.915
2024-07-05,06:00,111-111-111,1461.093
2024-07-05,06:30,111-111-111,1461.625
2024-07-05,07:00,111-111-111,1462.154
2024-07-05,07:30,111-111-111,1462.219
2024-07-05,08:00,111-111-111,1462.461
2024-07-05,08:30,111-111-111,1463.099
2024-07-05,09:00,111-111-111,1463.847
2024-07-05,09:30,111-111-111,1464.657
2024-07-05,10:00,111-111-111,1465.155
2024-07-05,10:30,111-111-111,1466.15
2024-07-05,11:00,111-111-111,1467.1
2024-07-05,11:30,111-111-111,1467.264
2024-07-05,12:00,111-111-111,1467.608
2024-07-05,12:30,111-111-111,1468.271
2024-07-05,13:00,111-111-111,1468.481
2024-07-05,13:30,111-111-111,1468.691
2024-07-05,14:00,111-111-111,1469.196
2024-07-05,14:30,111-111-111,1469.97
2024-07-05,15:00,111-111-111,1470.498
2024-07-05,15:30,111-111-111,1471.073
2024-07-05,16:00,111-111-111,1471.618
2024-07-05,16:30,111-111-111,1472.361
2024-07-05,17:00,111-111-111,1472.976
2024-07-05,17:30,111-111-111,1473.31
2024-07-05,18:00,111-111-111,1473.483
2024-07-05,18:30,111-111-111,1474.162
2024-07-05,19:00,111-111-111,1474.348
2024-07-05,19:30,111-111-111,1474.531
2024-07-05,20:00,111-111-111,1475.223
2024-07-05,20:30,111-111-111,1475.346
2024-07-05,21:00,111-111-111,1475.985
2024-07-05,21:30,111-111-111,1476.427
2024-07-05,22:00,111-111-111,1476.522
2024-07-05,22:30,111-111-111,1477.256
2024-07-05,23:00,111-111-111,1478.034
2024-07-05,23:30,111-111-111,1478.847
