date,time,meter_ID,meter_value
2024-07-26,01:30,111-111-111,1931.671
2024-07-26,02:00,111-111-111,1931.729
2024-07-26,02:30,111-111-111,1932.378
2024-07-26,03:00,111-111-111,1932.579
2024-07-26,03:30,111-111-111,1933.152
2024-07-26,04:00,111-111-111,1934.035
2024-07-26,04:30,111-111-111,1934.994
2024-07-26,05:00,111-111-111,1935.017
2024-07-26,05:30,111-111-111,1935.18
2024-07-26,06:00,111-111-111,1935.984
2024-07-26,06:30,111-111-111,1936.119
2024-07-26,07:00,111-111-111,1936.209
2024-07-26,07:30,111-111-111,1936.254
2024-07-26,08:00,111-111-111,1936.466
2024-07-26,08:30,111-111-111,1937.305
2024-07-26,09:00,111-111-111,1938.027
2024-07-26,09:30,111-111-111,1938.425
2024-07-26,10:00,111-111-111,1939.406
2024-07-26,10:30,111-111-111,1939.883
2024-07-26,11:00,111-111-111,1940.838
2024-07-26,11:30,111-111-111,1940.898
2024-07-26,12:00,111-111-111,1941.413
2024-07-26,12:30,111-111-111,1941.497
2024-07-26,13:00,111-111-111,1941.79
2024-07-26,13:30,111-111-111,1941.891
2024-07-26,14:00,111-111-111,1941.892
2024-07-26,14:30,111-111-111,1942.288
2024-07-26,15:00,111-111-111,1942.525
2024-07-26,15:30,111-111-111,1942.897
2024-07-26,16:00,111-111-111,1942.926
2024-07-26,16:30,111-111-111,1943.862
2024-07-26,17:00,111-111-111,1944.824
2024-07-26,17:30,111-111-111,1945.275
2024-07-26,18:00,111-111-111,1946.093
2024-07-26,18:30,111-111-111,1946.316
2024-07-26,19:00,111-111-111,1946.54
2024-07-26,19:30,111-111-111,1947.44
2024-07-26,20:00,111-111-111,1948.022
2024-07-26,20:30,111-111-111,1948.974
2024-07-26,21:00,111-111-111,1949.482
2024-07-26,21:30,111-111-111,1950.002
2024-07-26,22:00,111-111-111,1950.546
2024-07-26,22:30,111-111-111,1951.477
2024-07-26,23:00,111-111-111,1951.953
2024-07-26,23:30,111-111-111,1952.242
