date,time,meter_ID,meter_value
2024-07-27,01:30,111-111-111,1953.155
2024-07-27,02:00,111-111-111,1953.542
2024-07-27,02:30,111-111-111,1953.724
2024-07-27,03:00,111-111-111,1954.446
2024-07-27,03:30,111-111-111,1954.827
2024-07-27,04:00,111-111-111,1955.643
2024-07-27,04:30,111-111-111,1956.207
2024-07-27,05:00,111-111-111,1956.973
2024-07-27,05:30,111-111-111,1957.479
2024-07-27,06:00,111-111-111,1957.779
2024-07-27,06:30,111-111-111,1958.741
2024-07-27,07:00,111-111-111,1958.879
2024-07-27,07:30,111-111-111,1958.917
2024-07-27,08:00,111-111-111,1959.612
2024-07-27,08:30,111-111-111,1960.035
2024-07-27,09:00,111-111-111,1960.831
2024-07-27,09:30,111-111-111,1961.728
2024-07-27,10:00,111-111-111,1962.315
2024-07-27,10:30,111-111-111,1962.955
2024-07-27,11:00,111-111-111,1962.963
2024-07-27,11:30,111-111-111,1963.046
2024-07-27,12:00,111-111-111,1963.741
2024-07-27,12:30,111-111-111,1964.385
2024-07-27,13:00,111-111-111,1965.377
2024-07-27,13:30,111-111-111,1965.528
2024-07-27,14:00,111-111-111,1966.42
2024-07-27,14:30,111-111-111,1967.233
2024-07-27,15:00,111-111-111,1968.051
2024-07-27,15:30,111-111-111,1968.206
2024-07-27,16:00,111-111-111,1969.084
2024-07-27,16:30,111-111-111,1969.842
2024-07-27,17:00,111-111-111,1970.653
2024-07-27,17:30,111-111-111,1971.271
2024-07-27,18:00,111-111-111,1971.845
2024-07-27,18:30,111-111-111,1972.218
2024-07-27,19:00,111-111-111,1973.127
2024-07-27,19:30,111-111-111,1973.161
2024-07-27,20:00,111-111-111,1973.517
2024-07-27,20:30,111-111-111,1973.768
2024-07-27,21:00,111-111-111,1974.272
2024-07-27,21:30,111-111-111,1974.282
2024-07-27,22:00,111-111-111,1975.051
2024-07-27,22:30,111-111-111,1975.298
2024-07-27,23:00,111-111-111,1976.17
2024-07-27,23:30,111-111-111,1976.588
