date,time,meter_ID,meter_value
2024-07-19,01:30,111-111-111,1766.368
2024-07-19,02:00,111-111-111,1766.805
2024-07-19,02:30,111-111-111,1767.656
2024-07-19,03:00,111-111-111,1767.778
2024-07-19,03:30,111-111-111,1768.018
2024-07-19,04:00,111-111-111,1768.925
2024-07-19,04:30,111-111-111,1769.012
2024-07-19,05:00,111-111-111,1769.121
2024-07-19,05:30,111-111-111,1769.647
2024-07-19,06:00,111-111-111,1769.752
2024-07-19,06:30,111-111-111,1769.774
2024-07-19,07:00,111-111-111,1769.791
2024-07-19,07:30,111-111-111,1770.227
2024-07-19,08:00,111-111-111,1770.571
2024-07-19,08:30,111-111-111,1770.868
2024-07-19,09:00,111-111-111,1771.461
2024-07-19,09:30,111-111-111,1772.41
2024-07-19,10:00,111-111-111,1773.317
2024-07-19,10:30,111-111-111,1773.876
2024-07-19,11:00,111-111-111,1774.465
2024-07-19,11:30,111-111-111,1775.046
2024-07-19,12:00,111-111-111,1775.227
2024-07-19,12:30,111-111-111,1775.579
2024-07-19,13:00,111-111-111,1776.36
2024-07-19,13:30,111-111-111,1776.596
2024-07-19,14:00,111-111-111,1777.257
2024-07-19,14:30,111-111-111,1777.776
2024-07-19,15:00,111-111-111,1778.351
2024-07-19,15:30,111-111-111,1778.416
2024-07-19,16:00,111-111-111,1779.035
2024-07-19,16:30,111-111-111,1779.448
2024-07-19,17:00,111-111-111,1779.647
2024-07-19,17:30,111-111-111,1780.477
2024-07-19,18:00,111-111-111,1781.337
2024-07-19,18:30,111-111-111,1781.885
2024-07-19,19:00,111-111-111,1782.255
2024-07-19,19:30,111-111-111,1782.757
2024-07-19,20:00,111-111-111,1783.339
2024-07-19,20:30,111-111-111,1784.006
2024-07-19,21:00,111-111-111,1784.631
2024-07-19,21:30,111-111-111,1785.525
2024-07-19,22:00,111-111-111,1785.841
2024-07-19,22:30,111-111-111,1786.607
2024-07-19,23:00,111-111-111,1786.759
2024-07-19,23:30,111-111-111,1786.983
