date,time,meter_ID,meter_value
2024-08-02,01:30,111-111-111,2093.694
2024-08-02,02:00,111-111-111,2093.927
2024-08-02,02:30,111-111-111,2094.884
2024-08-02,03:00,111-111-111,2095.855
2024-08-02,03:30,111-111-111,2096.383
2024-08-02,04:00,111-111-111,2096.567
2024-08-02,04:30,111-111-111,2097.282
2024-08-02,05:00,111-111-111,2097.94
2024-08-02,05:30,111-111-111,2098.429
2024-08-02,06:00,111-111-111,2098.474
2024-08-02,06:30,111-111-111,2099.088
2024-08-02,07:00,111-111-111,2099.712
2024-08-02,07:30,111-111-111,2100.705
2024-08-02,08:00,111-111-111,2101.47
2024-08-02,08:30,111-111-111,2102.086
2024-08-02,09:00,111-111-111,2102.303
2024-08-02,09:30,111-111-111,2103.135
2024-08-02,10:00,111-111-111,2103.411
2024-08-02,10:30,111-111-111,2103.841
2024-08-02,11:00,111-111-111,2104.6
2024-08-02,11:30,111-111-111,2104.812
2024-08-02,12:00,111-111-111,2105.149
2024-08-02,12:30,111-111-111,2105.361
2024-08-02,13:00,111-111-111,2105.556
2024-08-02,13:30,111-111-111,2105.713
2024-08-02,14:00,111-111-111,2106.111
2024-08-02,14:30,111-111-111,2106.189
2024-08-02,15:00,111-111-111,2106.353
2024-08-02,15:30,111-111-111,2107.067
2024-08-02,16:00,111-111-111,2107.569
2024-08-02,16:30,111-111-111,2107.788
2024-08-02,17:00,111-111-111,2108.294
2024-08-02,17:30,111-111-111,2109.144
2024-08-02,18:00,111-111-111,2109.634
2024-08-02,18:30,111-111-111,2109.788
2024-08-02,19:00,111-111-111,2110.072
2024-08-02,19:30,111-111-111,2110.335
2024-08-02,20:00,111-111-111,2111.309
2024-08-02,20:30,111-111-111,2111.978
2024-08-02,21:00,111-111-111,2112.107
2024-08-02,21:30,111-111-111,2112.343
2024-08-02,22:00,111-111-111,2112.901
2024-08-02,22:30,111-111-111,2113.215
2024-08-02,23:00,111-111-111,2113.807
2024-08-02,23:30,111-111-111,2114.222
